FID,FID_,Inspection,License__,Risk,str_Name,Zip,Latitude,Longitude,Violation,Type,count_ins,D_crime,Exp,D_rodent,D_sani,D_envir,year_built,Pass1
13,4526,1329447,385,Risk 1 (High),HARLEM,60634,41.951274669999997,-87.807066379999995,1,Complaint,2,376.346299999999990,1,1144.408899999999900,603.365300000000050,3694.128299999999900,1979,1
14,5538,1188688,404,Risk 1 (High),WESTERN,60618,41.959539280000001,-87.688483800000000,1,Canvass,1,733.236300000000030,0,234.346300000000010,515.921200000000000,1632.443000000000000,1927,1
15,962,1389253,526,Risk 3 (Low),IRVING,60641,41.953438290000001,-87.754754329999997,0,Canvass,1,892.809999999999950,1,364.896300000000000,749.357800000000000,2354.043200000000100,1915,1
16,9474,1326374,574,Risk 1 (High),CHESTNUT,60611,41.898564469999997,-87.619470579999998,1,Canvass Re-Inspection,2,991.716300000000050,1,343.065299999999980,832.410899999999970,826.605599999999980,1966,1
17,5760,1345365,644,Risk 1 (High),CLARK,60602,41.882434009999997,-87.631037010000000,1,Complaint,1,653.996099999999960,0,397.561300000000020,284.158700000000010,903.047299999999950,1922,1
18,9770,1166230,666,Risk 1 (High),ELSTON,60641,41.959951930000003,-87.728497550000000,1,Short Form Complaint,2,450.766900000000020,1,372.160100000000000,371.517299999999980,1564.322500000000000,1916,1
19,3427,1092606,691,Risk 1 (High),CLEVELAND,60614,41.920015990000003,-87.641449199999997,1,Canvass Re-Inspection,2,637.849600000000010,1,52.005600000000001,246.104400000000000,644.506200000000040,1891,0
20,7321,1324469,700,Risk 1 (High),WELLS,60610,41.907742839999997,-87.634460790000006,1,Canvass,1,127.845200000000010,0,211.233300000000010,184.630500000000010,1001.340799999999900,1915,1
21,7202,1335681,747,Risk 2 (Medium),ARCHER,60638,41.797992790000002,-87.748297359999995,1,Canvass,1,601.716400000000020,0,684.359799999999950,633.821199999999980,3770.377100000000200,1955,1
22,8072,1188595,753,Risk 1 (High),LINCOLN,60618,41.954581019999999,-87.679215270000000,1,Canvass,1,845.556500000000030,0,249.136699999999990,615.052699999999960,1265.210399999999900,1974,1
23,9925,1307244,783,Risk 1 (High),CENTRAL,60634,41.948274720000001,-87.766984500000007,1,Canvass,1,732.902199999999990,1,689.033999999999990,668.346800000000030,2499.341699999999900,1923,1
24,2286,1369654,800,Risk 1 (High),IRVING,60618,41.954243669999997,-87.680304250000006,1,Complaint Re-Inspection,2,795.239299999999960,0,277.035700000000020,510.143700000000020,1375.451100000000000,1916,0
25,9425,1326388,833,Risk 1 (High),BALTIMORE,60633,41.655416649999999,-87.547290790000005,1,Canvass Re-Inspection,2,530.602200000000040,1,1007.681000000000000,567.686199999999990,3901.618199999999900,1903,0
26,8854,1110318,845,Risk 1 (High),HUBBARD,60611,41.889963870000003,-87.627506920000002,1,Canvass Re-Inspection,2,249.690200000000000,1,562.545300000000000,491.501800000000000,676.543199999999960,1949,0
27,6438,1198915,853,Risk 1 (High),LINCOLN,60614,41.920030779999998,-87.636545549999994,1,Complaint,1,779.883000000000040,1,312.353700000000000,872.325299999999970,695.787000000000030,1974,1
28,11520,1321242,928,Risk 2 (Medium),HIGGINS,60656,41.980726199999999,-87.805712779999993,1,Canvass,1,1171.525500000000000,1,465.563199999999990,170.355300000000000,3249.397599999999800,1963,1
29,4017,1360493,955,Risk 1 (High),ELSTON,60618,41.934168139999997,-87.690478260000006,1,Canvass,1,388.413000000000010,0,681.370199999999950,488.891900000000020,1428.879400000000000,2006,1
30,3813,1199055,968,Risk 1 (High),HALSTED,60614,41.920082190000002,-87.648724709999996,1,Canvass,1,430.824900000000010,1,66.328999999999994,107.037600000000000,1298.280600000000000,2007,1
31,3416,1305402,990,Risk 1 (High),40TH,60632,41.820230969999997,-87.694874709999993,1,Complaint,4,528.865300000000050,1,471.189100000000000,756.377700000000000,2353.549000000000000,1942,0
32,1690,1199175,1043,Risk 2 (Medium),LINCOLN,60657,41.936779809999997,-87.664834499999998,1,Canvass,1,481.948199999999990,0,105.308800000000010,249.686700000000000,1410.042300000000100,1899,1
33,3322,1329516,1050,Risk 1 (High),PETERSON,60659,41.990198520000000,-87.715262370000005,1,Canvass,1,514.228200000000020,1,231.930600000000000,394.834999999999980,3991.404300000000100,1964,1
34,5536,1146462,1058,Risk 1 (High),DIVISION,60622,41.902821330000002,-87.696143300000003,1,Short Form Complaint,2,289.762600000000020,0,583.764400000000020,367.148199999999970,2734.554900000000100,1909,1
35,7660,1335440,1060,Risk 1 (High),63RD,60638,41.777878670000000,-87.776323710000000,1,Canvass,1,499.736899999999990,0,268.766099999999990,712.144999999999980,3203.127399999999900,1960,1
36,10103,1084416,1064,Risk 1 (High),KEDZIE,60623,41.845451410000003,-87.705214290000001,1,Canvass,1,354.243600000000010,0,489.217199999999990,516.746300000000020,3299.386199999999900,1924,1
37,5245,1324565,1077,Risk 1 (High),LAKE,60606,41.885618489999999,-87.634122360000006,1,Canvass,1,100.683000000000010,0,356.269600000000030,585.851900000000000,1104.604399999999900,1929,1
38,7474,1345250,1168,Risk 1 (High),STATE,60603,41.879982730000002,-87.627575190000002,0,Short Form Complaint,2,628.093600000000040,0,276.511900000000030,714.906700000000000,748.339600000000020,1927,1
39,3972,1235942,1187,Risk 1 (High),FOSTER,60640,41.976541730000001,-87.652657640000001,1,Canvass,1,545.644000000000010,1,992.543300000000040,907.602499999999960,1036.844800000000100,1960,1
40,5346,1353740,1192,Risk 1 (High),IRVING,60641,41.953402859999997,-87.739602230000003,1,Canvass,1,449.362100000000000,1,187.287399999999990,477.214200000000010,2707.323300000000000,1955,1
41,3376,1324673,1196,Risk 1 (High),DIVISION,60610,41.903820879999998,-87.629328529999995,1,Canvass,1,182.349500000000010,0,181.007299999999990,255.523599999999990,706.412199999999980,1911,1
42,6710,1335917,1212,Risk 1 (High),OAKLEY,60608,41.847573840000003,-87.683215840000003,1,Complaint,1,472.360999999999990,1,247.811299999999990,633.890200000000050,2037.885399999999900,1886,1
43,1499,1370162,1219,Risk 1 (High),BROADWAY,60660,41.989333600000002,-87.660394609999997,1,Canvass Re-Inspection,2,620.468899999999960,1,173.873500000000010,343.010699999999990,1904.616900000000000,1971,0
44,137,1092761,1237,Risk 1 (High),MONROE,60603,41.880591899999999,-87.630442329999994,1,Complaint Re-Inspection,4,764.578099999999950,0,442.582699999999990,441.406799999999980,1056.262899999999900,1905,1
45,4221,1345474,1242,Risk 1 (High),WACKER,60601,41.887556040000000,-87.619655089999995,1,Canvass,1,954.547000000000030,0,666.938200000000050,969.536100000000030,1457.667600000000000,1989,1
46,10534,1138824,1246,Risk 1 (High),WELLS,60610,41.895647490000002,-87.634029859999998,1,Canvass,1,343.940900000000000,0,186.209399999999990,546.033500000000000,811.160200000000030,1881,1
47,4208,1360390,1254,Risk 1 (High),HIGGINS,60656,41.980268750000000,-87.802542349999996,1,Canvass,1,1102.109400000000100,1,299.027199999999990,498.377999999999990,3116.626900000000200,1952,1
48,4280,1360353,1425,Risk 1 (High),SHEFFIELD,60657,41.935464430000003,-87.654102030000004,1,Canvass,1,458.721999999999980,1,151.779100000000000,618.792299999999950,1518.939900000000100,1896,1
49,8872,1327273,1447,Risk 1 (High),ADAMS,60603,41.879535230000002,-87.630024210000002,1,Canvass Re-Inspection,2,625.081900000000020,0,454.369500000000020,397.523399999999980,1134.300700000000000,1907,0
50,464,1387291,1462,Risk 2 (Medium),WESTERN,60647,41.924942000000001,-87.687496400000001,1,Canvass,1,380.735400000000030,1,218.870399999999990,228.559599999999990,1506.596200000000000,1917,1
51,2433,1236024,1470,Risk 1 (High),DEVON,60659,41.997926419999999,-87.684784859999994,1,Canvass,1,589.865300000000050,1,165.663299999999990,225.235999999999990,1136.638799999999900,2006,1
52,7247,1114828,1491,Risk 1 (High),CLARK,60605,41.872361370000000,-87.630467199999998,1,Canvass Re-Inspection,2,258.153099999999990,0,256.538700000000010,761.847399999999990,503.572499999999990,1952,0
53,7757,1322481,1525,Risk 1 (High),CLARK,60657,41.935181900000003,-87.646987409999994,1,Complaint,2,412.105999999999990,1,107.706800000000000,421.554599999999990,1288.654600000000100,1927,1
54,1462,1375214,1529,Risk 1 (High),LAWRENCE,60630,41.968090259999997,-87.731668089999999,1,Short Form Complaint,2,482.693100000000020,1,185.507600000000000,734.893199999999980,1382.426099999999900,1927,1
55,8463,1319497,1542,Risk 1 (High),53RD,60615,41.799656210000002,-87.588735709999995,1,Complaint Re-Inspection,3,394.669300000000020,0,143.934400000000010,504.409299999999970,832.110000000000010,1888,0
56,3794,1155137,1553,Risk 1 (High),WESTERN,60643,41.681092489999997,-87.680967920000001,1,Canvass Re-Inspection,4,1025.940800000000100,1,1038.542400000000000,1477.278100000000000,4368.780200000000100,1963,0
57,5532,1353608,1574,Risk 1 (High),CICERO,60641,41.939787039999999,-87.746745610000005,1,Canvass,1,351.197600000000020,1,682.854900000000040,445.402499999999970,2813.596500000000100,1921,1
58,1916,1381211,1578,Risk 1 (High),BELMONT,60657,41.940020359999998,-87.654172110000005,1,Canvass,1,283.117200000000030,1,107.181700000000010,225.712200000000000,741.065699999999990,1916,1
59,4767,1151499,1599,Risk 1 (High),OAKLEY,60608,41.848044020000003,-87.682937179999996,1,Short Form Complaint,2,510.436600000000000,1,222.886599999999990,659.482499999999960,1954.057499999999900,1891,1
60,3465,1199073,1650,Risk 1 (High),HALSTED,60614,41.928723480000002,-87.649022579999993,1,Canvass,1,321.158500000000000,1,201.150700000000000,186.949199999999990,1408.881599999999900,1979,1
61,2978,1361155,1655,Risk 1 (High),BRYN,60660,41.983524680000002,-87.659396889999996,1,Complaint Re-Inspection,4,354.281400000000020,1,378.180400000000020,668.359799999999950,1637.641200000000000,1914,0
62,11343,1321319,1673,Risk 1 (High),ONTARIO,60611,41.893483680000003,-87.621882769999999,1,Complaint,1,511.124900000000030,1,207.853700000000000,377.657100000000010,407.867200000000030,1881,1
63,5394,1151445,1726,Risk 1 (High),ARCHER,60608,41.830692280000001,-87.677404679999995,1,Canvass,1,483.694000000000020,1,183.284600000000010,440.926600000000010,1833.901599999999900,1878,1
64,3883,1114994,1732,Risk 1 (High),WABASH,60604,41.878904040000002,-87.626250479999996,1,Canvass Re-Inspection,2,405.971099999999980,0,191.252000000000010,718.550600000000030,661.383400000000050,1894,1
65,8086,1343237,1750,Risk 1 (High),18TH,60608,41.857935650000002,-87.664401060000003,1,Canvass,2,301.725700000000020,1,251.566800000000000,147.986999999999990,1079.559400000000100,1887,0
66,7525,1335504,1753,Risk 1 (High),BLUE,60608,41.856900469999999,-87.662155949999999,1,Suspected Food Poisoning Re-inspection,6,625.630099999999970,1,419.444599999999980,218.125200000000010,1354.982099999999900,1879,0
67,8119,1188594,1766,Risk 1 (High),ADDISON,60618,41.946639589999997,-87.714949180000005,1,Canvass Re-Inspection,2,872.221300000000040,0,79.748599999999996,340.481699999999990,3137.025500000000200,1923,0
68,3125,1092617,1791,Risk 1 (High),ARMITAGE,60614,41.918208569999997,-87.653757690000006,1,Canvass Re-Inspection,2,395.213199999999970,1,101.996600000000000,140.420999999999990,1250.622900000000100,1881,0
69,4720,1354088,1794,Risk 1 (High),ARCHER,60638,41.793942049999998,-87.774633210000005,1,Canvass,1,832.541699999999990,0,749.780399999999990,1375.243899999999900,3126.422999999999800,1988,1
70,10162,1322026,1800,Risk 1 (High),63RD,60629,41.778631249999997,-87.717424379999997,1,Complaint,1,481.420700000000010,1,354.986800000000020,973.648900000000030,1806.383300000000000,1924,1
71,11484,1174500,1804,Risk 1 (High),18TH,60608,41.858073840000003,-87.655799810000005,1,Complaint,1,261.237700000000020,1,230.368100000000000,408.009900000000020,61.984499999999997,1942,1
72,1754,1174614,1806,Risk 1 (High),HALSTED,60661,41.877594080000001,-87.647380209999994,1,Canvass,1,263.964600000000020,1,313.528599999999980,761.034300000000030,1550.038299999999900,1864,1
73,5751,1353478,1838,Risk 1 (High),MILWAUKEE,60630,41.966751799999997,-87.759607209999999,1,Canvass,1,843.539300000000030,1,336.804199999999980,635.338799999999990,1998.794400000000000,1924,1
74,10976,1271516,1869,Risk 1 (High),CENTRAL,60634,41.958373850000001,-87.767320760000004,1,Complaint,1,864.708499999999960,1,399.974499999999980,632.538999999999990,2517.902399999999900,1960,1
75,10266,1307230,1872,Risk 1 (High),CENTRAL,60634,41.958139699999997,-87.767312430000004,1,Canvass,1,796.174200000000040,1,457.070699999999990,709.372200000000020,2490.756199999999800,1960,1
76,436,1345732,1918,Risk 1 (High),WACKER,60601,41.887999890000003,-87.622565129999998,1,Canvass,2,724.892399999999950,0,474.477300000000010,750.099799999999960,1089.684299999999900,1974,1
77,5353,1345390,1922,Risk 1 (High),WACKER,60601,41.887999890000003,-87.622565129999998,1,Canvass,1,724.892399999999950,0,474.477300000000010,750.099799999999960,1089.684299999999900,1974,1
78,100,1345763,1925,Risk 1 (High),WACKER,60601,41.887999890000003,-87.622565129999998,0,Canvass,2,724.892399999999950,0,474.477300000000010,750.099799999999960,1089.684299999999900,1974,1
79,127,1345762,1928,Risk 1 (High),WACKER,60601,41.887999890000003,-87.622565129999998,1,Canvass,3,724.892399999999950,0,474.477300000000010,750.099799999999960,1089.684299999999900,1974,0
80,5425,1110350,1929,Risk 1 (High),WACKER,60601,41.887999890000003,-87.622565129999998,1,Canvass,1,724.892399999999950,0,474.477300000000010,750.099799999999960,1089.684299999999900,1974,1
81,466,1345733,1932,Risk 1 (High),WACKER,60601,41.887999890000003,-87.622565129999998,1,Canvass,3,724.892399999999950,0,474.477300000000010,750.099799999999960,1089.684299999999900,1974,0
82,433,1345731,1937,Risk 1 (High),WACKER,60601,41.887999890000003,-87.622565129999998,1,Canvass,2,724.892399999999950,0,474.477300000000010,750.099799999999960,1089.684299999999900,1974,1
83,5405,1345387,1939,Risk 1 (High),WACKER,60601,41.887999890000003,-87.622565129999998,1,Suspected Food Poisoning,1,724.892399999999950,0,474.477300000000010,750.099799999999960,1089.684299999999900,1974,1
84,808,1372291,1955,Risk 1 (High),KINGSBURY,60654,41.890684299999997,-87.639395280000002,1,Canvass,2,347.223599999999980,1,551.292400000000040,760.698200000000040,1126.512400000000100,2006,1
85,10488,1322361,1984,Risk 1 (High),BELMONT,60657,41.939777610000000,-87.655632010000005,1,Canvass,1,249.462999999999990,1,42.616500000000002,45.341799999999999,874.786899999999950,1916,1
86,3400,1092610,2003,Risk 1 (High),LINCOLN,60614,41.923908449999999,-87.636663170000006,1,Canvass,1,836.406100000000040,1,128.345800000000000,740.977200000000040,1386.448699999999900,1926,1
87,2027,1106921,2072,Risk 1 (High),GLENWOOD,60626,42.009176979999999,-87.666369399999994,1,Complaint,3,289.715500000000020,0,349.581700000000010,485.517600000000020,1702.696600000000000,1918,0
88,1572,1151771,2086,Risk 1 (High),63RD,60629,41.778696300000000,-87.728713970000001,1,Canvass,1,499.751100000000010,1,387.055499999999990,785.756399999999990,2325.013700000000000,1960,1
89,1936,1369883,2115,Risk 1 (High),HALSTED,60657,41.941696340000000,-87.649176569999995,1,Canvass Re-Inspection,2,516.803199999999950,1,187.234399999999990,322.523799999999990,665.416900000000060,1891,0
90,3199,1367271,2167,Risk 1 (High),CICERO,60644,41.873334579999998,-87.744858280000003,1,Complaint,1,547.607399999999980,1,401.601900000000000,390.743100000000030,1494.310199999999900,1909,1
91,2930,1361192,2217,Risk 2 (Medium),DIVERSEY,60639,41.931637100000003,-87.747101850000007,1,Complaint Re-Inspection,2,547.726400000000010,1,264.108099999999980,409.489399999999990,2605.243199999999900,1930,0
92,7049,1098993,2218,Risk 2 (Medium),LAWRENCE,60625,41.968482690000002,-87.691408910000007,1,Complaint,2,529.845599999999990,1,516.830699999999980,351.906999999999980,398.882000000000010,1987,1
93,6233,1329356,2222,Risk 2 (Medium),IRVING,60634,41.953286490000004,-87.767379070000004,1,Canvass,1,649.852899999999980,1,40.510800000000003,185.013399999999990,2187.291200000000100,1955,1
94,3421,1305403,2223,Risk 2 (Medium),47TH,60632,41.806698500000003,-87.704900210000005,1,Canvass,1,604.938300000000030,1,1005.012600000000000,965.778000000000020,1411.146199999999900,1920,1
95,1374,1151789,2224,Risk 2 (Medium),CERMAK,60608,41.851857209999999,-87.690661219999996,1,Canvass,1,743.529300000000030,1,123.031300000000000,472.099400000000000,1908.317500000000100,1931,1
96,1382,1151785,2535,Risk 2 (Medium),ARCHER,60608,41.841557690000002,-87.657869790000007,1,Canvass,1,601.662600000000000,0,280.104899999999990,731.871099999999960,3463.475500000000000,1888,1
97,7907,1235761,2751,Risk 1 (High),ARGYLE,60640,41.973385780000001,-87.657508750000005,1,Canvass,1,735.956199999999970,1,530.221700000000060,150.324600000000000,657.483200000000010,1916,1
98,3681,1199060,2760,Risk 1 (High),ARLINGTON,60614,41.926650279999997,-87.642262279999997,1,Canvass Re-Inspection,2,418.345500000000020,1,135.744499999999990,304.093999999999990,660.361700000000040,1925,0
99,5217,1353776,2767,Risk 1 (High),CICERO,60632,41.796777190000000,-87.742718089999997,1,Canvass,1,642.729199999999990,1,1275.213500000000100,1813.596600000000100,3041.900200000000000,1989,1
100,4203,1360388,3032,Risk 2 (Medium),HURON,60611,41.894903300000003,-87.620743730000001,1,Canvass,1,803.782100000000010,1,749.062400000000030,816.700500000000030,705.262200000000010,1979,1
101,5477,1151440,3070,Risk 1 (High),ARCHER,60608,41.831830730000000,-87.675527189999997,1,Canvass,1,330.464299999999980,0,527.136300000000010,499.622000000000010,1823.977900000000100,1957,1
102,4032,1228120,3320,Risk 1 (High),CANAL,60616,41.853701999999998,-87.638708330000000,1,Complaint,1,604.388900000000040,0,1164.783200000000100,1537.244999999999900,2666.808399999999900,1972,1
103,7301,1155050,3522,Risk 1 (High),COMMERCIAL,60617,41.736550880000003,-87.551558150000005,1,Canvass,1,269.649900000000000,0,859.766700000000010,460.056699999999980,1951.501199999999900,1888,1
104,6922,1305311,3523,Risk 1 (High),63RD,60638,41.777863029999999,-87.777177449999996,1,Canvass Re-Inspection,2,550.170799999999990,0,313.426100000000020,664.775899999999980,3260.487000000000100,1956,0
105,714,1387276,3525,Risk 1 (High),LEAVITT,60612,41.868952870000001,-87.681575480000006,1,Canvass,2,394.698199999999990,0,322.996500000000030,340.713599999999990,1603.848199999999900,1913,1
106,6769,1335884,3528,Risk 1 (High),ORLEANS,60610,41.894277219999999,-87.637258250000002,1,Canvass Re-Inspection,2,418.208199999999980,0,339.178800000000020,815.381300000000010,845.684300000000010,1953,0
107,8180,1106511,3532,Risk 1 (High),PETERSON,60659,41.990558700000001,-87.698400260000000,1,Canvass Re-Inspection,2,500.367799999999990,1,73.723799999999997,214.570600000000010,1612.041199999999900,1970,0
108,7104,1155064,3543,Risk 1 (High),95TH,60617,41.722732690000001,-87.544530829999999,1,Canvass,1,1100.247000000000100,0,1854.334400000000000,1808.858500000000000,2924.096700000000100,1985,1
109,966,1296699,3558,Risk 2 (Medium),EWING,60617,41.723035119999999,-87.536792039999995,1,Canvass,1,711.402600000000010,0,985.592099999999960,1243.589700000000000,3606.744600000000000,1970,1
110,9306,1319447,3563,Risk 1 (High),DORCHESTER,60615,41.799456859999999,-87.591931709999997,1,Canvass,1,457.012600000000020,1,325.066599999999990,501.300500000000000,1237.147200000000100,1919,1
111,3891,1329483,3595,Risk 1 (High),TOUHY,60645,42.011893770000000,-87.702674340000002,1,Canvass,1,492.217100000000020,1,566.380400000000010,968.601599999999960,2224.400999999999800,1959,1
112,9530,1092351,3596,Risk 1 (High),IRVING,60613,41.954368359999997,-87.655224180000005,1,Canvass,1,244.796400000000010,0,85.779899999999998,639.124599999999990,2005.884700000000100,1954,1
113,3052,1166412,3597,Risk 1 (High),LINCOLN,60618,41.956466120000002,-87.680211060000005,1,Canvass,1,638.563499999999980,1,253.316399999999990,666.558700000000040,1602.660000000000100,1902,1
114,8925,1326679,3616,Risk 1 (High),MILWAUKEE,60646,41.996608860000002,-87.786999449999996,1,Complaint,1,644.825399999999950,0,970.885599999999950,313.637400000000010,3701.858900000000200,1952,1
115,691,1358234,3634,Risk 2 (Medium),ARMITAGE,60647,41.917466480000002,-87.686816239999999,1,Short Form Complaint,3,286.791000000000000,1,302.940400000000010,391.820400000000010,2169.121500000000200,1931,0
116,7645,1319529,3642,Risk 1 (High),57TH,60637,41.791365030000001,-87.593700389999995,1,Canvass,1,877.174499999999970,1,674.160700000000020,441.272299999999970,1460.674500000000100,1912,1
117,4992,1353954,3643,Risk 1 (High),ELSTON,60618,41.953332510000003,-87.718791719999999,1,Complaint,1,490.996699999999980,1,164.209399999999990,438.505499999999980,1577.113300000000000,2007,1
118,1919,1099241,3644,Risk 1 (High),DAMEN,60618,41.940374009999999,-87.678524210000006,1,Canvass,1,350.491899999999990,0,66.089600000000004,382.640400000000000,1727.512899999999900,2008,1
119,3209,1166404,3650,Risk 2 (Medium),WESTERN,60618,41.946819920000003,-87.688406659999998,1,Canvass,1,764.929899999999980,1,320.314300000000000,801.945900000000050,1314.481199999999900,1935,1
120,306,1151886,3651,Risk 2 (Medium),WESTERN,60636,41.761594899999999,-87.683303929999994,1,Short Form Complaint,2,213.577400000000010,1,366.464800000000030,256.066199999999980,1908.359999999999900,1909,1
121,3333,1192212,3663,Risk 1 (High),LAWRENCE,60630,41.967994240000003,-87.740643160000005,1,Canvass,1,359.504000000000020,1,348.769799999999980,265.494199999999980,1939.518800000000100,1910,1
122,11678,1322308,3669,Risk 1 (High),BROADWAY,60657,41.935279960000003,-87.644092749999999,1,Canvass,1,75.989199999999997,1,170.878099999999990,178.220400000000010,771.211300000000050,1899,1
123,5541,1151436,3688,Risk 2 (Medium),KEDZIE,60655,41.692732530000001,-87.701014049999998,1,Canvass,1,1022.549100000000000,1,445.585899999999980,500.068400000000000,5991.494700000000200,1957,1
124,3583,1319742,3705,Risk 1 (High),53RD,60615,41.799659900000002,-87.588342060000002,1,Complaint,3,450.407800000000010,0,190.096700000000000,536.012500000000050,823.884199999999960,1888,0
125,6042,1322565,3712,Risk 1 (High),SOUTHPORT,60657,41.943306960000001,-87.664061380000007,1,Canvass,1,287.229300000000020,0,179.235800000000010,278.986800000000020,2460.777500000000100,1891,1
126,3068,1235987,3742,Risk 2 (Medium),DEVON,60659,41.997518300000003,-87.708224160000000,1,Short Form Complaint,2,444.248600000000010,0,136.725200000000000,507.695100000000020,2976.120100000000100,2006,1
127,9157,1326564,3743,Risk 1 (High),LARRABEE,60610,41.910865530000002,-87.643572789999993,1,Complaint,1,347.749700000000020,0,192.265700000000010,792.605500000000010,1651.451499999999900,2004,1
128,7524,1335502,3752,Risk 1 (High),HIGGINS,60630,41.976123280000003,-87.786993749999993,1,Canvass,1,699.158800000000040,1,639.775399999999990,628.553099999999970,2392.516500000000200,1973,1
129,7719,1322483,3769,Risk 1 (High),BROADWAY,60657,41.937665029999998,-87.644467520000006,1,Canvass,1,336.472800000000010,1,103.155100000000000,239.358200000000010,1075.150599999999900,1925,1
130,6231,1106640,3774,Risk 1 (High),WESTERN,60659,41.986604800000002,-87.689689119999997,1,Canvass Re-Inspection,2,784.858600000000020,1,169.727600000000000,443.056199999999990,2794.222600000000100,2007,0
131,11317,1146250,3775,Risk 1 (High),PULASKI,60632,41.794560969999999,-87.723051960000006,1,Canvass Re-Inspection,2,445.057300000000000,1,368.998800000000020,683.164499999999980,2518.987700000000100,1978,0
132,1306,1305453,3786,Risk 2 (Medium),55TH,60632,41.793591100000000,-87.705788499999997,1,Canvass,1,554.845599999999990,1,502.991899999999990,753.270599999999940,1991.958900000000100,1967,1
133,3696,1360663,3787,Risk 2 (Medium),MICHIGAN,60628,41.689341570000003,-87.621156360000001,1,Complaint Re-Inspection,3,237.709700000000000,1,877.219600000000010,505.743499999999980,1491.606299999999900,1904,0
134,4263,1146494,3799,Risk 1 (High),TAYLOR,60612,41.869146870000002,-87.681859419999995,1,Canvass,1,344.266099999999990,0,266.119700000000020,305.898700000000020,1573.821700000000000,1913,1
135,7673,1166304,3800,Risk 2 (Medium),MILWAUKEE,60641,41.955980910000001,-87.750279160000005,1,Canvass,1,530.864000000000030,1,380.138899999999980,488.935200000000010,2101.085300000000200,1905,1
136,1054,1393223,3801,Risk 2 (Medium),IRVING,60618,41.953818929999997,-87.706732049999999,1,Canvass,1,417.493800000000020,0,184.740000000000010,461.706200000000020,1538.221700000000100,1911,1
137,4230,1092565,3803,Risk 1 (High),WEBSTER,60614,41.921702060000001,-87.648943729999999,1,Canvass Re-Inspection,2,210.104299999999990,1,333.421899999999990,221.249599999999990,1099.843800000000100,1891,0
138,5071,1296494,3814,Risk 2 (Medium),STONY,60617,41.739533070000000,-87.585851890000001,1,Short Form Complaint,2,715.285499999999960,0,672.586099999999990,486.175599999999970,3145.419199999999800,1958,1
139,7156,1335660,3833,Risk 1 (High),NORTH,60639,41.909649840000000,-87.752692159999995,1,Canvass,1,264.432300000000000,0,402.165500000000010,585.630800000000020,2263.734500000000000,1958,1
140,10198,1321999,3843,Risk 1 (High),WESTERN,60647,41.917527589999999,-87.687555979999999,1,Complaint,1,358.413999999999990,1,357.297800000000000,357.399400000000010,2082.303100000000100,1931,1
