FID,Inspection,License__,Risk,Zip,Latitude,Longitude,Pass,Violation,exp,Type,year_built,str_name,d_rodent,d_14crime,d_14san_co,d_14en_com,count_insp
52,1497643,1553,Risk 1 (High),60643,41.681092489999997,-87.680967920000001,1,1,0,Canvass,1963,WESTERN,212.389900000000010,1111.565000000000100,1195.152499999999900,7857.404099999999700,3
53,1441577,1578,Risk 1 (High),60657,41.940020359999998,-87.654172110000005,1,1,0,Canvass,1916,BELMONT,489.894099999999980,380.887999999999980,134.565400000000010,1135.165999999999900,2
54,1460131,1599,Risk 1 (High),60608,41.848044020000003,-87.682937179999996,1,1,0,Canvass Re-Inspection,1891,OAKLEY,224.839599999999990,764.773000000000020,528.114199999999980,1071.675300000000100,2
55,1493422,1650,Risk 1 (High),60614,41.928723480000002,-87.649022579999993,1,1,0,Canvass,1979,HALSTED,21087.105299999999000,482.793499999999990,183.792499999999990,535.853299999999990,1
56,1464494,1655,Risk 1 (High),60660,41.983524680000002,-87.659396889999996,0,1,0,Complaint Re-Inspection,1914,BRYN,118.311100000000000,533.602499999999960,636.338100000000050,1294.877700000000000,3
57,1439520,1673,Risk 1 (High),60611,41.893483680000003,-87.621882769999999,0,1,0,Complaint,1881,ONTARIO,221.704600000000000,695.619500000000020,381.415700000000020,1369.098900000000000,4
58,1488214,1726,Risk 1 (High),60608,41.830692280000001,-87.677404679999995,1,1,0,Canvass,1878,ARCHER,398.850799999999990,851.583999999999950,318.445400000000010,3448.250100000000200,1
59,1453333,1732,Risk 1 (High),60604,41.878904040000002,-87.626250479999996,1,1,1,Canvass,1894,WABASH,502.142200000000000,666.892100000000030,422.979899999999990,1096.455500000000000,1
60,1501402,1766,Risk 1 (High),60618,41.946639589999997,-87.714949180000005,1,1,1,Canvass,1923,ADDISON,338.635100000000020,1156.732199999999900,429.239500000000020,2022.108700000000000,2
61,1490783,1794,Risk 1 (High),60638,41.793942049999998,-87.774633210000005,1,1,0,Canvass,1988,ARCHER,567.442599999999970,1068.882900000000100,762.425700000000010,2974.881400000000200,1
62,1490351,1800,Risk 1 (High),60629,41.778631249999997,-87.717424379999997,1,1,0,Canvass,1924,63RD,1048.130699999999900,622.306600000000000,864.816400000000040,3974.082600000000200,1
63,1497932,1804,Risk 1 (High),60608,41.858073840000003,-87.655799810000005,0,1,0,Short Form Complaint,1942,18TH,68.520799999999994,313.626199999999980,430.905899999999970,1574.280299999999900,4
64,1453444,1806,Risk 1 (High),60661,41.877594080000001,-87.647380209999994,1,1,0,Canvass,1864,HALSTED,21087.105299999999000,228.167200000000010,649.292800000000060,1130.361799999999900,1
65,1424305,1838,Risk 1 (High),60630,41.966751799999997,-87.759607209999999,1,1,0,Canvass,1924,MILWAUKEE,423.453599999999990,989.226999999999980,406.364600000000000,3427.141599999999900,1
66,1506307,1869,Risk 1 (High),60634,41.958373850000001,-87.767320760000004,1,1,0,Canvass,1960,CENTRAL,269.265600000000010,822.446699999999960,696.168900000000010,2190.892600000000100,2
67,1471368,1872,Risk 1 (High),60634,41.958139699999997,-87.767312430000004,1,1,0,Canvass,1960,CENTRAL,241.198500000000000,882.136499999999960,778.953300000000010,2225.803800000000100,1
68,1383458,1918,Risk 1 (High),60601,41.887999890000003,-87.622565129999998,1,1,1,Canvass,1974,WACKER,666.865400000000020,752.148900000000030,517.460199999999990,1009.510800000000000,2
69,1383460,1922,Risk 1 (High),60601,41.887999890000003,-87.622565129999998,0,1,0,Complaint Re-Inspection,1974,WACKER,345.547800000000000,752.148900000000030,517.460199999999990,1009.510800000000000,3
70,1383456,1925,Risk 1 (High),60601,41.887999890000003,-87.622565129999998,1,0,0,Canvass,1974,WACKER,424.083399999999980,752.148900000000030,517.460199999999990,1009.510800000000000,2
71,1383455,1928,Risk 1 (High),60601,41.887999890000003,-87.622565129999998,1,0,1,Canvass,1974,WACKER,42.180700000000002,752.148900000000030,517.460199999999990,1009.510800000000000,2
72,1383454,1929,Risk 1 (High),60601,41.887999890000003,-87.622565129999998,1,1,0,Canvass,1974,WACKER,335.566700000000030,752.148900000000030,517.460199999999990,1009.510800000000000,2
73,1383459,1932,Risk 1 (High),60601,41.887999890000003,-87.622565129999998,1,0,1,Canvass,1974,WACKER,364.171400000000010,752.148900000000030,517.460199999999990,1009.510800000000000,2
74,1383453,1937,Risk 1 (High),60601,41.887999890000003,-87.622565129999998,1,0,1,Canvass,1974,WACKER,444.505800000000020,752.148900000000030,517.460199999999990,1009.510800000000000,2
75,1383457,1939,Risk 1 (High),60601,41.887999890000003,-87.622565129999998,1,1,1,Canvass,1974,WACKER,365.933499999999980,752.148900000000030,517.460199999999990,1009.510800000000000,2
76,1372652,1955,Risk 1 (High),60654,41.890684299999997,-87.639395280000002,1,1,0,Canvass,2006,KINGSBURY,682.416699999999990,751.877299999999990,765.709899999999950,298.825200000000000,1
77,1092786,1984,Risk 1 (High),60657,41.939777610000000,-87.655632010000005,1,1,0,Canvass,1916,BELMONT,178.183699999999990,290.284200000000000,246.914600000000010,1465.834499999999900,1
78,1501937,2003,Risk 1 (High),60614,41.923908449999999,-87.636663170000006,1,1,0,Complaint,1926,LINCOLN,354.485500000000000,341.697900000000000,660.609100000000010,1689.178500000000000,2
79,1493795,2017,Risk 3 (Low),60622,41.910246720000004,-87.649336640000001,1,1,0,Canvass,1891,DAYTON,472.351699999999990,984.921000000000050,331.334799999999970,1138.260199999999900,1
80,1307671,2086,Risk 1 (High),60629,41.778696300000000,-87.728713970000001,0,1,0,Canvass Re-Inspection,1960,63RD,434.754099999999990,474.725500000000010,224.023699999999990,4856.498999999999800,2
81,1092919,2115,Risk 1 (High),60657,41.941696340000000,-87.649176569999995,1,1,0,Canvass,1891,HALSTED,481.345100000000000,421.087800000000020,550.921900000000050,657.515599999999950,1
82,1496717,2217,Risk 2 (Medium),60639,41.931637100000003,-87.747101850000007,1,1,0,Canvass,1930,DIVERSEY,89.600300000000004,461.548900000000000,527.195299999999970,3471.460000000000000,1
83,1496510,2218,Risk 2 (Medium),60625,41.968482690000002,-87.691408910000007,1,1,0,Canvass,1987,LAWRENCE,463.507999999999980,505.308400000000010,595.779199999999950,672.711699999999950,1
84,1497286,2221,Risk 2 (Medium),60608,41.839489000000000,-87.646460860000005,1,1,0,Canvass,1888,HALSTED,361.769200000000010,661.964799999999970,467.207699999999990,1770.434700000000000,1
85,1471402,2222,Risk 2 (Medium),60634,41.953286490000004,-87.767379070000004,1,1,0,Canvass,1955,IRVING,436.446700000000020,392.571399999999980,794.784099999999970,2587.157200000000100,1
86,1401376,2224,Risk 2 (Medium),60608,41.851857209999999,-87.690661219999996,0,1,0,Complaint Re-Inspection,1931,CERMAK,220.170899999999990,635.173599999999960,528.126600000000050,1859.862800000000100,2
87,1502115,2535,Risk 2 (Medium),60608,41.841557690000002,-87.657869790000007,1,1,0,Canvass,1888,ARCHER,291.186699999999970,689.244100000000000,165.644200000000010,3315.483200000000100,1
88,1107089,2751,Risk 1 (High),60640,41.973385780000001,-87.657508750000005,0,1,0,Canvass Re-Inspection,1916,ARGYLE,63.351599999999998,323.847399999999990,448.310999999999980,1407.594100000000000,2
89,1445249,2760,Risk 1 (High),60614,41.926650279999997,-87.642262279999997,0,1,0,Canvass Re-Inspection,1925,ARLINGTON,355.489600000000000,360.050999999999990,175.043000000000010,1367.140599999999900,2
90,1490546,2767,Risk 1 (High),60632,41.796777190000000,-87.742718089999997,1,1,0,Canvass,1989,CICERO,387.519999999999980,874.241499999999970,783.687000000000010,5674.320700000000200,1
91,1439403,3032,Risk 2 (Medium),60611,41.894903300000003,-87.620743730000001,1,0,0,Canvass,1979,HURON,238.912100000000010,1034.825599999999900,915.531100000000040,1798.263099999999900,1
92,1488216,3070,Risk 1 (High),60608,41.831830730000000,-87.675527189999997,1,1,1,Canvass,1957,ARCHER,365.812099999999990,823.668000000000010,466.777199999999990,3456.713000000000200,1
93,1459956,3320,Risk 1 (High),60616,41.853701999999998,-87.638708330000000,1,1,1,Short Form Complaint,1972,CANAL,506.623100000000020,878.408800000000040,877.188999999999960,2484.853999999999800,2
94,1497577,3522,Risk 1 (High),60617,41.736550880000003,-87.551558150000005,0,1,1,Canvass Re-Inspection,1888,COMMERCIAL,91.642799999999994,302.000400000000010,372.411900000000000,2205.192500000000100,2
95,1493541,3523,Risk 1 (High),60638,41.777863029999999,-87.777177449999996,0,1,0,Canvass Re-Inspection,1956,63RD,489.038700000000010,1133.685099999999900,465.042500000000020,3914.517600000000100,2
96,1325150,3525,Risk 1 (High),60612,41.868952870000001,-87.681575480000006,1,1,1,Complaint,1913,LEAVITT,296.127299999999990,671.172000000000030,654.049099999999950,2343.689100000000100,2
97,1502118,3528,Risk 1 (High),60610,41.894277219999999,-87.637258250000002,0,1,0,Canvass Re-Inspection,1953,ORLEANS,103.197100000000010,587.264400000000020,364.409699999999990,1728.224099999999900,3
98,1418540,3532,Risk 1 (High),60659,41.990558700000001,-87.698400260000000,1,1,0,Canvass,1970,PETERSON,570.313099999999960,624.221700000000060,234.829000000000010,2338.762800000000000,2
99,1473368,3542,Risk 2 (Medium),60632,41.794274260000002,-87.723043390000001,1,1,0,Canvass,1926,PULASKI,68.660200000000003,489.406200000000010,462.050200000000020,3105.303699999999900,1
100,1493607,3543,Risk 1 (High),60617,41.722732690000001,-87.544530829999999,1,1,0,Complaint Re-Inspection,1985,95TH,761.971800000000030,1594.085000000000000,1765.141400000000000,2228.087399999999900,2
101,1391396,3595,Risk 1 (High),60645,42.011893770000000,-87.702674340000002,1,1,0,Canvass,1959,TOUHY,469.665399999999980,900.277799999999960,547.398900000000030,3137.673600000000100,1
102,1474113,3596,Risk 1 (High),60613,41.954368359999997,-87.655224180000005,1,1,1,Canvass,1905,IRVING,382.654699999999990,238.296100000000000,428.547300000000010,2236.060100000000100,2
103,1418638,3616,Risk 1 (High),60646,41.996608860000002,-87.786999449999996,1,1,1,Canvass,1952,MILWAUKEE,179.926500000000000,723.568499999999970,722.542100000000000,2117.911400000000000,2
104,1396195,3642,Risk 1 (High),60637,41.791365030000001,-87.593700389999995,1,1,0,Canvass,1912,57TH,367.298000000000000,596.949399999999970,529.856499999999980,3304.487200000000000,1
105,1490488,3643,Risk 1 (High),60618,41.953332510000003,-87.718791719999999,1,1,0,Canvass,2007,ELSTON,84.366200000000006,400.717400000000000,411.533099999999990,1735.599200000000100,1
106,1493634,3644,Risk 1 (High),60618,41.940374009999999,-87.678524210000006,1,1,1,Canvass,2008,DAMEN,553.398299999999950,497.750499999999990,106.191400000000000,1563.558299999999900,1
107,1496637,3650,Risk 2 (Medium),60618,41.946819920000003,-87.688406659999998,1,1,0,Canvass,1935,WESTERN,310.372700000000010,429.598200000000020,570.023699999999960,1751.480499999999900,1
108,1424287,3663,Risk 1 (High),60630,41.967994240000003,-87.740643160000005,1,1,0,Canvass,1910,LAWRENCE,314.611699999999980,528.284999999999970,529.648500000000010,2485.069599999999800,1
109,1441422,3669,Risk 1 (High),60657,41.935279960000003,-87.644092749999999,1,1,0,Complaint,1924,BROADWAY,209.502800000000010,303.334600000000020,177.236300000000000,2188.336100000000000,2
110,1512928,3688,Risk 2 (Medium),60655,41.692732530000001,-87.701014049999998,0,1,0,Canvass Re-Inspection,1957,KEDZIE,241.970000000000000,985.712999999999970,794.309899999999970,7549.839899999999900,2
111,1434590,3705,Risk 1 (High),60615,41.799659900000002,-87.588342060000002,1,1,1,Complaint,1888,53RD,369.661000000000000,381.321399999999980,220.049299999999990,468.760400000000000,1
112,1441342,3712,Risk 1 (High),60657,41.943306960000001,-87.664061380000007,1,1,0,Canvass,1891,SOUTHPORT,310.831900000000020,282.770400000000000,302.375299999999980,1939.522200000000100,1
113,1434369,3726,Risk 2 (Medium),60707,41.932207499999997,-87.806396649999996,1,1,0,Canvass,1958,HARLEM,1068.971700000000100,1326.683600000000100,1058.138700000000000,2593.509000000000000,1
114,1493242,3738,Risk 2 (Medium),60618,41.946823400000000,-87.693532640000001,1,0,1,Canvass,1959,ADDISON,179.405000000000000,1076.300700000000000,699.166500000000040,1745.138099999999900,2
115,1418236,3742,Risk 2 (Medium),60659,41.997518300000003,-87.708224160000000,1,1,1,Canvass,2006,DEVON,304.565800000000020,411.426199999999990,473.033200000000020,3667.906900000000000,1
116,1501476,3743,Risk 1 (High),60610,41.910865530000002,-87.643572789999993,1,1,0,Canvass,2004,LARRABEE,565.912000000000030,640.549399999999990,172.822700000000000,1173.462399999999900,2
117,1236205,3752,Risk 1 (High),60630,41.976123280000003,-87.786993749999993,1,1,0,Canvass,1973,HIGGINS,295.373100000000020,608.505099999999970,819.192999999999980,3986.301899999999900,1
118,1496912,3769,Risk 1 (High),60657,41.937665029999998,-87.644467520000006,0,1,0,Canvass Re-Inspection,1925,BROADWAY,477.040300000000000,325.844200000000000,132.126900000000010,1680.070400000000100,3
119,1345880,3774,Risk 1 (High),60659,41.986604800000002,-87.689689119999997,1,1,0,Complaint,2007,WESTERN,917.261300000000010,690.081599999999980,814.341000000000010,2172.622699999999900,1
120,1501530,3775,Risk 1 (High),60632,41.794560969999999,-87.723051960000006,1,1,0,Canvass,1978,PULASKI,53.154699999999998,477.828100000000010,418.426300000000030,3082.769200000000200,2
121,1387590,3787,Risk 2 (Medium),60628,41.689341570000003,-87.621156360000001,1,1,0,Canvass,1904,MICHIGAN,525.937999999999990,421.437200000000020,781.800299999999990,2272.986399999999800,1
122,1515328,3799,Risk 1 (High),60612,41.869146870000002,-87.681859419999995,1,1,1,Canvass,1913,TAYLOR,1000.291900000000100,619.768800000000060,621.122200000000020,2386.976000000000100,3
123,1490669,3800,Risk 2 (Medium),60641,41.955980910000001,-87.750279160000005,1,1,0,Canvass,1905,MILWAUKEE,362.370799999999970,604.464799999999970,311.817500000000000,2258.576000000000000,1
124,1491072,3801,Risk 2 (Medium),60618,41.953818929999997,-87.706732049999999,1,1,1,Canvass,1911,IRVING,287.627900000000010,649.356700000000050,679.376899999999980,2194.625399999999900,1
125,1402195,3803,Risk 1 (High),60614,41.921702060000001,-87.648943729999999,0,1,0,Canvass Re-Inspection,1891,WEBSTER,480.189500000000010,275.201199999999970,264.913200000000020,683.634099999999990,2
126,1493481,3814,Risk 2 (Medium),60617,41.739533070000000,-87.585851890000001,1,1,1,Complaint,1958,STONY,478.610500000000000,579.250599999999960,416.894999999999980,3278.189899999999900,1
127,1385293,3833,Risk 1 (High),60639,41.909649840000000,-87.752692159999995,0,1,1,Complaint Re-Inspection,1958,NORTH,413.285199999999970,300.880800000000020,722.252500000000050,743.842899999999990,2
128,1506222,3846,Risk 1 (High),60634,41.943303970000002,-87.766519799999998,1,1,0,Canvass,1972,CENTRAL,231.267799999999990,636.743699999999990,488.213000000000020,2836.215400000000000,2
129,1307264,3847,Risk 1 (High),60629,41.765676030000002,-87.722290529999995,1,1,0,Complaint,1956,PULASKI,605.061799999999950,585.727300000000010,179.826400000000010,4805.840600000000400,1
130,1482276,3866,Risk 1 (High),60640,41.965306599999998,-87.656117969999997,0,1,0,Canvass Re-Inspection,1906,WILSON,578.418199999999960,599.981999999999970,184.100300000000000,2009.956100000000100,2
131,1467403,3887,Risk 1 (High),60607,41.871726469999999,-87.653487159999997,0,1,0,Canvass Re-Inspection,1879,POLK,966.424300000000020,837.443400000000000,229.454600000000000,2905.242099999999900,2
132,1434653,3892,Risk 1 (High),60640,41.961824919999998,-87.654601959999994,0,1,0,Canvass Re-Inspection,1922,SHERIDAN,510.131700000000020,694.199600000000030,342.546899999999990,1456.268600000000100,2
133,1493796,3896,Risk 1 (High),60638,41.792317099999998,-87.788906220000001,1,1,0,Canvass,1926,ARCHER,820.234100000000010,1308.811099999999900,636.123200000000000,1565.839800000000000,1
134,1473957,3903,Risk 2 (Medium),60632,41.808244490000000,-87.703168860000005,1,1,0,Canvass Re-Inspection,1972,47TH,1233.670300000000000,546.840000000000030,840.967499999999970,1485.216300000000000,2
135,1493664,3914,Risk 1 (High),60623,41.844456000000001,-87.717479870000005,1,1,0,Canvass,1904,26TH,461.723700000000010,140.571699999999990,612.578200000000040,1985.474200000000100,1
136,1401840,3923,Risk 1 (High),60707,41.931024569999998,-87.792890090000000,0,1,1,Canvass Re-Inspection,1925,DIVERSEY,202.173599999999990,707.981900000000000,336.147899999999990,2307.848800000000200,3
137,1418365,3933,Risk 1 (High),60646,41.997532759999999,-87.766900739999997,1,1,0,Canvass,1958,CALDWELL,694.204399999999960,1582.651499999999900,1520.963500000000100,5053.510100000000400,1
138,1453536,3941,Risk 1 (High),60607,41.881641209999998,-87.662348989999998,1,1,0,Canvass,1899,MADISON,131.068800000000010,475.849499999999980,586.270899999999980,875.732899999999970,1
139,1439417,3943,Risk 1 (High),60611,41.895004919999998,-87.626876870000004,1,1,0,Canvass,2002,HURON,227.383100000000010,400.666299999999980,467.350000000000020,2009.079199999999900,1
140,1401719,3946,Risk 1 (High),60632,41.800880870000000,-87.693935269999997,1,1,0,Canvass,1963,51ST,691.329100000000040,465.924699999999970,575.657100000000010,2225.649500000000000,1
141,1418647,3953,Risk 1 (High),60659,41.997197380000003,-87.699480559999998,1,1,0,Complaint,1952,CALIFORNIA,416.855599999999980,395.738099999999970,333.940400000000010,2756.824700000000100,2
142,1439425,3974,Risk 1 (High),60611,41.896653139999998,-87.622239660000005,1,1,0,Canvass,2010,CHICAGO,608.379000000000020,603.787799999999950,622.889599999999970,1363.572600000000000,1
143,1439546,4190,Risk 1 (High),60611,41.890762889999998,-87.627549009999996,0,0,0,Short Form Complaint,1992,ILLINOIS,771.894099999999980,210.802400000000010,642.365800000000040,722.969100000000030,6
144,1473602,4256,Risk 1 (High),60614,41.926401720000001,-87.650311529999996,0,1,0,Canvass Re-Inspection,1881,LINCOLN,521.437099999999990,419.204600000000030,104.046899999999990,1313.999900000000000,2
